City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,29.93,80,20,4.61,CA,1695001260
1,papatowai,-46.5619,169.4708,48.94,70,60,23.67,NZ,1695001260
2,rikaze,29.25,88.8833,55.4,43,100,3.42,CN,1695001260
3,timimoun,29.2639,0.231,86.38,30,97,13.8,DZ,1695001260
4,tsiombe,-25.3,45.4833,67.93,94,62,7.58,MG,1695001261
5,port-aux-francais,-49.35,70.2167,40.89,97,100,24.74,TF,1695001261
6,xilin hot,43.9667,116.0333,63.63,44,76,17.31,CN,1695001261
7,ambon,-3.6954,128.1814,82.54,74,40,6.91,ID,1695001261
8,palmer,42.1584,-72.3287,66.43,78,100,0.0,US,1695001262
9,tura,25.5198,90.2201,81.95,80,36,3.51,IN,1695001262
10,saint-philippe,-21.3585,55.7679,69.39,79,37,9.98,RE,1695001262
11,port elizabeth,-33.918,25.5701,49.32,80,0,5.75,ZA,1695001262
12,northam,51.0333,-4.2167,60.39,95,0,9.84,GB,1695001263
13,bereznik,62.8551,42.7072,48.65,91,91,8.63,RU,1695001263
14,saipan,15.1355,145.701,88.5,74,20,12.66,MP,1695001263
15,thunder bay,48.4001,-89.3168,53.51,87,75,4.61,CA,1695001188
16,palembang,-2.9167,104.7458,82.49,78,20,6.91,ID,1695001264
17,bilibino,68.0546,166.4372,42.44,60,100,2.17,RU,1695001264
18,albany,42.6001,-73.9662,62.35,91,100,2.01,US,1695001256
19,wailua homesteads,22.0669,-159.378,86.43,70,0,12.66,US,1695001265
20,waitangi,-43.9535,-176.5597,56.82,78,47,14.0,NZ,1695001265
21,aljezur,37.3191,-8.8033,63.59,90,67,2.82,PT,1695001265
22,amga,60.8953,131.9608,43.48,59,100,5.39,RU,1695001265
23,georgetown,5.4112,100.3354,84.13,87,20,10.36,MY,1695001122
24,constantia,44.1833,28.65,59.7,62,0,11.95,RO,1695001266
25,ginir,7.1333,40.7,61.3,75,100,3.85,ET,1695001266
26,al bawiti,28.3492,28.8659,71.65,81,0,7.65,EG,1695001266
27,hithadhoo,-0.6,73.0833,82.15,79,39,15.64,MV,1695001267
28,atafu village,-8.5421,-172.5159,83.91,76,33,15.73,TK,1695001267
29,margaret river,-33.95,115.0667,57.67,68,92,14.18,AU,1695001267
30,tiksi,71.6872,128.8694,34.41,73,99,11.83,RU,1695001268
31,khanty-mansiysk,61.0042,69.0019,46.51,100,0,2.24,RU,1695001268
32,sisimiut,66.9395,-53.6735,36.09,76,23,5.21,GL,1695001268
33,lerwick,60.1545,-1.1494,55.4,93,100,22.28,GB,1695001268
34,belyy yar,53.6039,91.3903,46.29,93,0,0.0,RU,1695001269
35,malmberget,67.1753,20.6549,28.96,93,100,3.44,SE,1695001269
36,narvik,68.4384,17.4272,47.37,87,100,7.87,NO,1695001269
37,udachny,66.4167,112.4,34.45,80,14,10.85,RU,1695001269
38,muynoq,43.7683,59.0214,61.32,69,0,4.72,UZ,1695001270
39,crane,31.3974,-102.3501,81.7,38,73,8.08,US,1695001270
